Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Plastic Bags,Wrappers,Sports Balls,Homes Powered
57,April,2015,4/20/2015,3.03,15,2850,3160,18000,15,350,610,11,0
58,April,2015,4/20/2015,2.64,18,960,1280,22000,22,450,820,7,0
59,April,2015,4/20/2015,3.54,15,870,1140,18000,17,330,620,6,59
60,March,2015,5/15/2015,1.95,9,1340,2150,22000,16,190,530,8,33
61,March,2015,5/17/2015,4.25,18,2630,3480,38000,36,1240,1760,22,71
62,March,2015,5/17/2015,5.62,15,1850,3270,54000,44,970,1320,28,94
63,March,2015,5/18/2015,3.81,15,2830,3780,48000,28,650,1130,19,64
64,March,2015,5/19/2015,3.45,18,1740,2630,32000,16,820,1250,32,58
65,March,2015,5/19/2015,3.34,15,2780,3250,37000,32,1140,1960,24,56
66,June,2015,6/1/2015,2.54,15,1260,1830,56000,56,1230,2140,26,42
67,June,2015,6/9/2015,4.66,18,2340,3460,48000,42,1620,1840,36,78
68,June,2015,6/9/2015,3.39,15,3240,4360,33000,23,1430,1760,24,57
69,June,2015,6/9/2015,3.17,15,940,1220,35000,18,840,960,9,53
70,June,2015,6/9/2015,3.15,18,830,1150,37000,26,920,1050,16,53
71,June,2015,6/9/2015,3.83,15,960,1190,33000,22,730,940,22,0
72,June,2015,6/10/2015,4.78,15,870,1040,32000,24,820,960,17,80
73,June,2015,6/10/2015,3.85,18,920,1290,34000,26,930,1020,13,0
74,June,2015,6/10/2015,4.48,15,1130,1370,38000,29,1270,1450,14,0
75,June,2015,6/10/2015,4.18,15,1060,1250,37000,27,1340,1420,21,0
76,June,2015,6/10/2015,3.38,18,740,930,34000,19,1130,1340,15,0
77,June,2015,6/10/2015,3.83,15,950,1220,35000,21,1370,1430,13,0
78,June,2015,6/12/2015,3.95,15,2340,3250,65000,45,2730,3340,18,0
79,June,2015,6/15/2015,2.44,18,2660,3420,72000,37,2430,3170,16,41
80,June,2015,6/18/2015,2.85,15,2430,3120,68000,35,2370,2820,22,48
81,June,2015,6/24/2015,3.43,15,2690,3370,82000,29,1910,2180,32,57
82,June,2015,6/24/2015,4.28,18,1540,1780,45000,24,1830,1990,18,71
83,June,2015,6/24/2015,3.94,15,1240,1450,37000,31,1650,1780,21,66
84,June,2015,6/28/2015,3.38,15,2870,3560,68000,36,2140,2450,34,56
85,June,2015,6/28/2015,3.45,18,2450,3240,74000,41,2320,2750,19,58
86,June,2015,6/29/2015,3.93,15,1830,2240,36000,28,1630,2450,14,66
87,July,2015,7/7/2015,4.07,15,2360,3120,82000,32,1840,2950,22,68
88,July,2015,7/8/2015,3.03,18,2640,3520,68000,28,1460,2630,16,51
89,July,2015,7/14/2015,3.52,15,2840,3360,65000,41,1690,2580,25,59
90,July,2015,7/14/2015,3.51,15,2640,3120,76000,38,2130,2760,27,59
91,July,2015,7/27/2015,3.68,18,3070,4250,82000,26,1770,2540,18,61
92,July,2015,7/29/2015,3.4,15,2820,3740,75000,31,2400,2940,20,57
93,August,2015,8/4/2015,3.72,15,2640,3250,68000,26,1860,2730,17,62
94,August,2015,8/18/2015,1.84,9,870,980,34000,13,750,930,56,31
95,August,2015,8/21/2015,3,15,3220,3460,67000,36,2170,2450,32,50
96,August,2015,8/25/2015,4.33,18,1980,2190,48000,21,1600,1840,22,72
97,August,2015,8/25/2015,4.3,15,410,540,3000,16,250,330,6,0
98,August,2015,8/26/2015,3.39,15,640,780,32000,18,350,560,3,0
99,September,2015,9/11/2015,4.08,18,2730,3140,54000,45,2430,2680,17,0
100,September,2015,9/11/2015,3.62,15,1360,1570,26000,25,1420,1570,13,0
101,September,2015,9/22/2015,2.4,7,760,1030,24000,16,780,1340,12,0
102,September,2015,9/30/2015,4.24,18,1240,1460,46000,43,860,920,7,0
103,September,2015,9/30/2015,3.31,15,800,920,32000,26,270,450,8,55
104,October,2015,10/12/2015,2.9,15,2540,2780,42000,54,2230,3140,16,0
105,October,2015,10/27/2015,2.46,18,2130,2560,34000,43,1970,2430,23,41
106,October,2015,10/31/2015,2.89,15,2670,2820,36000,35,2450,2830,33,48
107,November,2015,11/20/2015,4.46,15,1940,2230,28000,47,2960,3320,27,0
108,December,2015,12/2/2015,3.42,18,2140,2570,19000,62,3100,3540,15,0
109,December,2015,12/2/2015,3.56,15,1960,2340,21000,56,3300,4120,21,0
110,December,2015,12/23/2015,1.92,12,1640,2150,32000,32,2430,2660,9,32
111,December,2015,12/24/2015,2.9,18,1850,2670,33000,36,2770,3240,13,48
112,December,2015,12/26/2015,3.24,15,2370,3240,24000,42,1830,2250,22,54
113,December,2015,12/26/2015,4.41,15,2530,3300,41000,47,2190,3540,17,74
114,December,2015,12/26/2015,3.39,18,2720,3690,23000,22,2520,3360,27,57
115,December,2015,12/26/2015,3.27,15,2250,3180,37000,63,2740,2840,8,55
116,January,2016,1/10/2016,3.6,15,3240,4160,28000,54,1360,2580,17,60
117,February,2016,2/2/2016,4.06,18,3530,4620,24000,62,1850,2210,14,68
118,February,2016,2/3/2016,2.11,15,2340,3870,31000,46,2130,2680,21,35
119,February,2016,2/5/2016,3.01,15,2460,3640,27000,38,1920,2390,26,50
120,February,2016,2/17/2016,3.41,18,1340,1680,24000,22,1530,1940,6,57
121,February,2016,2/19/2016,3.66,15,950,1120,21000,32,1370,1640,4,61
122,February,2016,2/25/2016,4.51,15,2240,3150,36000,46,2450,3140,16,75
123,March,2016,3/1/2016,2.89,18,3050,3270,29000,24,1740,2250,24,48
124,March,2016,3/11/2016,2.89,15,1630,1820,18000,37,2150,2390,23,48
125,March,2016,3/12/2016,2.51,15,1120,1460,17000,43,2270,2490,18,42
126,March,2016,3/15/2016,3.58,18,3340,3640,45000,48,3450,3740,46,60
127,March,2016,3/29/2016,3.41,15,3560,3740,43000,53,3320,3570,38,57
128,April,2016,4/8/2016,2.79,15,2460,3150,38000,46,3540,3840,24,47
129,April,2016,4/30/2016,4.21,18,3860,4240,47000,18,3200,3470,36,70
130,April,2016,4/30/2016,4.88,15,3230,3640,52000,27,3750,3940,42,81
131,April,2016,4/30/2016,4.47,15,3760,4150,45000,40,2840,3270,23,75
132,April,2016,4/30/2016,3.29,18,3640,3520,52000,33,2530,2940,34,55
133,March,2016,5/7/2016,4.16,15,4230,4620,53000,34,2727,3360,38,69
134,March,2016,5/12/2016,2.93,15,3590,3840,47000,42,1760,2640,26,49
135,March,2016,5/31/2016,2.37,18,3740,4120,56000,65,1680,2530,32,40
136,June,2016,6/15/2016,2.57,15,4200,4630,38000,53,1480,1760,43,43
137,June,2016,6/16/2016,2.39,15,3840,3990,41000,32,1540,2030,38,40
138,June,2016,6/21/2016,3.98,15,4350,4120,45000,42,1630,2140,24,66
139,June,2016,6/22/2016,3.47,15,3960,3720,52000,38,1870,2200,35,58
140,June,2016,6/24/2016,3.97,18,4150,3970,48000,41,1530,1700,26,66
141,June,2016,6/30/2016,3.12,18,4450,4310,58000,43,2130,2410,29,52
142,July,2016,7/1/2016,3.17,15,3460,3820,43000,38,2240,2670,31,53
143,July,2016,7/13/2016,2.12,15,2850,3120,52000,53,1930,2150,28,35
144,July,2016,7/23/2016,2.31,18,3560,3780,65000,33,2460,2520,34,39
145,July,2016,7/28/2016,3.16,15,4130,4360,52000,54,2610,2900,26,53
146,July,2016,7/29/2016,4.02,15,4350,4600,55000,34,2430,2780,38,67
147,July,2016,7/29/2016,3.26,18,4420,4850,65000,48,2340,2580,25,54
148,July,2016,7/31/2016,3.82,15,2130,2240,35000,45,1830,2140,16,64
149,July,2016,7/31/2016,4.88,15,2450,2500,32000,33,1950,2070,24,81
150,August,2016,8/4/2016,5.05,18,2300,2260,16000,28,1360,1650,15,84
151,August,2016,8/16/2016,2.79,15,2850,3120,34000,42,2100,2630,31,47
152,August,2016,8/17/2016,3.47,15,2640,2900,38000,37,2340,2760,22,58
153,August,2016,8/19/2016,4.01,18,3250,3570,42000,56,2700,3020,28,67
154,August,2016,8/24/2016,3.18,15,2530,2740,52000,38,2810,3150,32,53
155,September,2016,9/2/2016,3.13,15,2780,2640,38000,21,2130,2830,15,52
156,September,2016,9/7/2016,2.43,18,2740,3360,24000,32,2210,2490,28,41
157,September,2016,9/19/2016,3.08,15,2530,3460,21000,38,2300,2760,33,51
158,October,2016,10/9/2016,2.9,15,1876,3990,27600,10,1240,1980,11,48
159,October,2016,10/27/2016,3,18,2340,3150,19000,46,2470,2810,37,50
160,November,2016,11/17/2016,2.01,15,2244,4358,27000,64,3400,3700,22,34
161,November,2016,11/29/2016,1.98,15,2980,4460,36000,18,1880,1610,11,33
162,November,2016,11/30/2016,2.75,18,3460,5840,16000,42,3260,3430,34,46
163,December,2016,12/1/2016,3.41,15,1840,4760,23000,43,3470,3800,6,57
164,December,2016,12/6/2016,2.55,15,1360,3850,34000,39,2340,4220,24,43
165,December,2016,12/16/2016,1.74,18,1880,2890,26000,59,2100,4040,20,29
166,December,2016,1/2/2017,2.13,15,2460,2740,32000,48,3250,4430,15,36
167,January,2017,1/19/2017,2.43,15,2260,2780,28000,36,2870,3640,22,41
168,February,2017,2/26/2017,2.32,18,2890,2460,30000,22,2610,3250,19,39
169,February,2017,2/26/2017,3.72,15,2140,1870,15000,23,2040,2450,12,62
170,March,2017,3/30/2017,2.14,15,2570,2930,23000,28,2650,2910,14,36
171,March,2017,3/31/2017,2.74,18,2030,2340,14000,18,1960,2150,18,46
172,March,2017,3/31/2017,2.63,15,1940,2170,12000,15,1820,1980,10,44
173,March,2017,3/31/2017,2.09,15,1870,2040,11000,13,1950,2210,6,35
174,April,2017,4/1/2017,2.67,18,1920,2130,13000,21,2230,2590,8,45
175,April,2017,4/1/2017,2.67,18,1920,2130,13000,21,2230,2590,8,45
176,April,2017,4/6/2017,3.55,15,2230,2540,2000,16,1480,1670,5,59
177,April,2017,4/6/2017,3.89,18,980,1120,3000,14,1500,1730,3,65
178,April,2017,4/6/2017,3.59,15,650,720,2000,10,1140,1450,5,60
179,April,2017,4/6/2017,3.13,15,430,560,4000,9,870,990,7,52
180,April,2017,4/6/2017,3.33,18,390,460,2000,8,720,850,2,56
181,April,2017,4/7/2017,3.11,15,490,510,3000,11,1020,1110,7,52
182,April,2017,4/7/2017,3.04,15,210,340,2000,12,890,1040,3,51
183,April,2017,4/7/2017,3.21,18,560,670,2000,15,920,1080,4,54
184,April,2017,4/7/2017,4.08,15,470,560,3000,12,780,820,5,68
185,April,2017,4/7/2017,3.26,15,390,450,2000,8,830,990,8,54
186,April,2017,4/8/2017,3.36,18,460,620,1000,9,790,830,10,56
187,April,2017,4/8/2017,3.62,15,530,670,2000,13,1120,1340,5,60
188,April,2017,4/8/2017,4.27,15,460,530,1000,12,820,1030,7,71
189,April,2017,4/8/2017,4.01,18,340,510,2000,10,730,910,5,67
190,April,2017,4/8/2017,3.88,15,360,490,1000,15,820,950,8,65
191,April,2017,4/21/2017,4.67,15,2540,2330,12000,32,2450,2670,10,78
192,March,2017,5/5/2017,3.53,18,2870,3140,16000,21,3460,3720,11,59
193,March,2017,5/5/2017,4.07,15,2230,2820,14000,19,3250,3890,14,68
194,March,2017,5/6/2017,3.93,15,2340,2530,15000,18,2890,3100,12,66
195,March,2017,5/11/2017,2.59,18,2560,2430,18000,16,3120,3240,8,43
196,March,2017,5/11/2017,3.81,15,2340,2250,19000,22,2830,3020,5,64
197,March,2017,5/22/2017,3.3,15,2480,2320,14000,21,2990,3120,9,55
198,March,2017,5/22/2017,3.84,18,2540,2410,15000,16,1980,2230,5,64
199,March,2017,5/26/2017,4.1,15,2980,2830,17000,18,2590,2730,14,68
200,June,2017,6/21/2017,4.1,18,3250,2980,21000,23,3460,3640,12,68
201,June,2017,6/21/2017,2.52,15,3340,3120,26000,16,2640,3010,8,42
202,June,2017,6/27/2017,1.95,15,2850,2560,17000,21,2430,2790,7,33
203,July,2017,7/3/2017,3.58,18,3220,3140,23000,24,2870,3160,18,60
204,July,2017,7/3/2017,1.5,15,2110,1920,14000,32,1780,2140,11,25
205,July,2017,7/12/2017,3.63,15,3670,3240,32000,34,3020,3560,22,61
206,July,2017,7/27/2017,2.21,18,2890,2710,11000,20,2890,3250,13,37
207,July,2017,7/28/2017,4.04,15,1460,1250,9000,12,1120,1540,21,67
208,August,2017,8/2/2017,3.87,15,3240,3120,18000,27,2780,3170,14,65
209,August,2017,8/4/2017,3.68,18,3530,3240,26000,25,3250,3590,9,61
210,August,2017,8/7/2017,2.17,15,2760,2500,19000,31,2230,2740,6,36
211,August,2017,8/11/2017,2.1,15,2980,2740,22000,28,2640,2930,13,35
212,August,2017,8/18/2017,3.7,18,2430,2010,27000,36,2910,3310,11,62
213,August,2017,8/19/2017,3.39,15,1500,1390,12000,42,600,750,6,57
214,August,2017,8/19/2017,3.14,15,1270,1140,9000,13,780,890,8,52
215,August,2017,8/19/2017,3.54,18,1340,1180,13000,31,630,1250,5,59
216,September,2017,9/12/2017,3.07,18,2780,2540,11000,21,1460,1870,6,51
217,September,2017,9/25/2017,2.15,15,2910,2890,14000,32,1870,2140,12,36
218,October,2017,10/11/2017,2.76,15,2760,2450,11000,24,1640,2350,8,46
219,October,2017,10/25/2017,2.76,18,2950,2780,10000,29,1780,2130,7,46
220,November,2017,11/14/2017,2.38,15,2550,2870,12000,23,1640,2210,13,40
221,November,2017,11/15/2017,2.02,15,2720,2980,11000,32,1870,2340,11,34
222,January,2018,1/15/2018,2.17,15,2540,3160,15000,28,2220,2560,12,36
223,January,2018,1/25/2018,2.08,15,2370,2790,21000,12,1540,2760,8,35
224,February,2018,2/5/2018,3.12,18,2250,3120,18000,16,1630,2800,6,52
225,February,2018,2/5/2018,2.45,15,1260,1670,22000,9,870,1580,4,41
226,February,2018,2/5/2018,3.72,15,950,1470,16000,11,920,1340,6,62
227,February,2018,2/6/2018,4,18,1020,1590,14000,7,1110,1850,12,67
228,February,2018,2/11/2018,3.54,15,2250,2560,24000,18,1430,2260,14,59
229,February,2018,2/11/2018,3.19,15,1130,1470,12000,10,650,1400,5,53
230,February,2018,2/11/2018,4.51,18,1240,1510,11000,6,710,1390,4,75
231,February,2018,2/13/2018,2.97,15,1950,2130,16000,3,1050,1670,8,50
232,February,2018,2/13/2018,3.78,15,1460,1620,12000,5,630,1320,3,63
233,March,2018,3/6/2018,2.66,15,2210,2650,18000,11,1420,1710,7,44
234,March,2018,3/6/2018,2.64,15,2470,2810,19000,13,1540,1980,10,44
235,April,2018,4/16/2018,4.3,15,2150,2300,23000,16,1320,2070,12,72
236,April,2018,4/16/2018,2.91,15,970,1100,8000,2,300,800,1,49
237,April,2018,4/16/2018,3.62,15,840,920,7000,3,290,650,4,60
238,April,2018,4/16/2018,2.4,12,790,910,8000,4,260,590,2,40
239,April,2018,4/17/2018,3.19,15,750,830,6000,3,190,400,4,53
240,April,2018,4/17/2018,3.03,15,810,890,5000,4,200,450,3,51
241,April,2018,4/17/2018,3.26,15,790,1020,6000,3,150,500,4,54
242,April,2018,4/17/2018,3.04,15,670,840,7000,2,230,620,3,51
243,April,2018,4/18/2018,3.09,15,710,910,7000,4,310,780,4,52
244,April,2018,4/18/2018,2.72,15,730,840,6000,6,280,640,2,45
245,April,2018,4/18/2018,3.65,15,820,980,7000,5,170,590,5,61
246,April,2018,4/18/2018,3.38,15,760,870,6000,3,240,720,1,56
247,April,2018,4/18/2018,3.44,15,670,780,6000,7,310,810,3,57
248,April,2018,4/18/2018,2.57,15,730,850,6000,2,110,570,2,43
249,April,2018,4/20/2018,3.36,15,750,870,7000,4,230,730,4,56
250,April,2018,4/20/2018,2.72,15,820,910,8000,3,190,610,2,45
251,April,2018,4/26/2018,3.81,15,1580,1870,12000,12,980,1560,3,64
252,March,2018,5/12/2018,3.36,15,2130,2340,11000,9,1140,2140,4,56
253,March,2018,5/14/2018,4.29,15,2350,2130,14000,5,600,2350,5,72
254,March,2018,5/14/2018,4.29,15,2460,2370,17000,3,740,2570,3,72
255,March,2018,5/16/2018,4,15,1220,1360,8000,4,350,780,2,67
256,March,2018,5/16/2018,3.25,15,950,890,7000,3,250,1010,3,54
257,March,2018,5/16/2018,1.6,15,400,320,4000,2,210,780,0,27
258,March,2018,5/17/2018,3.62,15,1050,1170,6000,4,470,970,2,60
259,March,2018,5/28/2018,3.19,15,1480,1560,8000,3,1360,2340,3,53
260,March,2018,5/28/2018,2.86,15,1300,1230,7000,6,1130,2140,2,48
261,March,2018,5/28/2018,4.1,15,1650,1490,9000,2,820,1930,1,68
262,March,2018,5/31/2018,3.38,15,2130,2240,11000,9,650,2350,2,56
263,June,2018,6/3/2018,3.35,15,2340,2580,12000,11,1130,1760,5,56
264,June,2018,6/3/2018,3.17,15,1890,2130,14000,6,870,1590,4,53
265,June,2018,6/5/2018,4.19,15,1420,1650,8000,3,590,1020,3,70
266,June,2018,6/5/2018,2.6,15,1280,1330,9000,3,630,1170,2,43
267,June,2018,6/5/2018,4.15,15,1140,1290,7000,2,570,1340,4,69
268,June,2018,6/12/2018,4.23,15,870,950,11000,6,890,1220,2,71
269,June,2018,6/12/2018,4.15,15,940,1130,10000,8,760,1430,8,69
270,June,2018,6/12/2018,4.44,15,620,730,5000,4,810,1020,3,74
271,June,2018,6/28/2018,3.12,15,1560,1780,13000,5,1240,1750,2,52
272,June,2018,6/29/2018,0.96,15,1720,1980,12000,4,1110,1500,2,16
273,July,2018,7/18/2018,2.99,15,1890,1630,13000,8,850,1290,3,50
274,July,2018,7/22/2018,3.49,15,1760,1830,10000,10,790,1340,1,58
275,July,2018,7/24/2018,4.39,15,890,1020,8000,4,340,710,5,73
276,July,2018,7/24/2018,3.57,15,710,850,6000,2,410,820,3,60
277,July,2018,7/24/2018,3.79,15,620,540,4000,2,370,560,1,63
278,July,2018,7/24/2018,4.24,15,780,670,5000,3,50,720,2,71
279,July,2018,7/25/2018,3.49,15,540,430,8000,6,410,910,7,58
280,July,2018,7/25/2018,4.16,15,670,720,7000,4,360,840,4,69
281,July,2018,7/26/2018,3.17,15,820,540,6000,8,430,750,5,53
282,July,2018,7/28/2018,3.31,15,540,650,10000,5,500,690,1,55
283,July,2018,7/28/2018,3.32,15,730,670,7000,6,290,1020,7,55
284,July,2018,7/28/2018,3.98,15,910,790,5000,9,370,560,2,66
285,July,2018,7/28/2018,3.84,15,710,630,8000,2,300,730,3,64
286,August,2018,8/9/2018,3.31,15,1750,990,11000,6,910,1650,6,55
287,August,2018,8/14/2018,4.62,18,1320,1010,4900,14,1260,920,1,77
288,August,2018,8/14/2018,3.74,15,2740,1130,6700,29,2100,1340,9,62
289,August,2018,8/14/2018,3.27,15,1120,790,4000,4,1050,1160,0,55
290,August,2018,8/14/2018,3.04,18,2100,980,3000,12,940,990,2,51
291,September,2018,9/1/2018,2.43,15,3110,1420,6500,38,990,1620,14,41
292,September,2018,9/1/2018,3.35,15,1200,880,5000,9,1210,1500,11,56
293,September,2018,9/9/2018,3.5,15,1390,870,7200,18,560,2100,6,58
294,September,2018,9/9/2018,4.25,18,940,600,2500,6,470,860,0,71
295,September,2018,9/10/2018,3.77,15,1220,940,5000,12,850,1100,4,63
296,September,2018,9/16/2018,2.26,15,1960,1070,7000,31,1000,1570,9,38
297,September,2018,9/25/2018,3.09,18,2150,950,8000,19,490,1410,16,52
298,September,2018,9/25/2018,2.95,15,2380,1250,7500,22,1500,1860,14,49
299,October,2018,10/4/2018,3.28,15,1440,800,4000,11,1700,2100,8,55
300,October,2018,10/4/2018,3.1,18,1080,610,6000,26,820,1640,8,52
301,October,2018,10/19/2018,3.04,15,1840,710,8000,38,1050,1820,11,51
302,November,2018,11/4/2018,3.11,15,2100,1420,5500,12,880,980,6,52
303,November,2018,11/4/2018,2.26,15,1500,1040,4000,8,1210,1440,4,38
304,November,2018,11/4/2018,3.46,15,660,560,3000,4,700,840,0,58
305,November,2018,11/4/2018,4.54,18,590,540,2000,14,390,880,4,76
306,November,2018,11/19/2018,3.19,15,1200,1140,6500,21,1100,1660,9,53
307,November,2018,11/25/2018,3.17,15,2610,1600,6000,28,940,1650,14,53
308,November,2018,11/25/2018,2.78,18,1820,1880,5000,8,800,1220,2,46
309,November,2018,11/25/2018,2.77,15,1080,1640,6000,14,640,980,0,46
310,November,2018,11/30/2018,3.26,15,790,1000,5500,31,1080,1140,6,54
311,December,2018,12/17/2018,3.53,18,1240,990,4000,20,840,1200,8,59
312,December,2018,12/20/2018,3.38,15,780,940,3000,10,550,840,8,56
313,December,2018,12/20/2018,2.96,15,480,500,1500,18,400,300,0,49
314,December,2018,12/20/2018,3.62,15,300,440,2000,10,250,400,4,60
315,January,2019,1/23/2019,2.5,15,990,1640,4500,6,990,1230,13,42
316,January,2019,1/23/2019,3.07,15,1110,1940,6000,21,1010,750,17,51
317,February,2019,2/12/2019,2.33,15,580,890,3400,0,750,1100,2,39
318,February,2019,2/12/2019,3.24,15,2200,2750,4600,4,1400,1750,11,54
319,March,2019,3/5/2019,2.52,15,1900,3300,6600,14,790,1250,14,42
320,March,2019,3/5/2019,2.27,14,2800,2700,8400,5,800,1400,9,38
321,March,2019,3/22/2019,3.06,15,840,1050,3500,3,450,840,0,51
322,March,2019,3/22/2019,3.33,15,680,880,2400,4,240,650,6,56
323,March,2019,3/22/2019,3.03,15,300,500,2000,0,425,750,6,51
324,March,2019,3/23/2019,2.6,15,240,450,1200,2,350,600,3,43
325,April,2019,4/13/2019,2.26,15,1015,990,5600,6,510,775,11,38
326,April,2019,4/18/2019,3.52,15,2150,2200,6450,11,780,1020,14,59
327,April,2019,4/18/2019,3.84,15,580,480,3100,3,250,230,4,64
328,April,2019,4/24/2019,3.57,15,1400,1760,5500,5,1040,1200,8,60
329,April,2019,4/30/2019,5.1,15,800,450,2400,2,240,350,1,85
330,April,2019,4/30/2019,3.53,15,1110,1460,7200,12,500,580,4,59
331,March,2019,5/11/2019,3.04,15,1980,2100,4400,6,660,680,8,51
332,March,2019,5/11/2019,3.07,15,1040,1240,3200,14,780,1040,14,51
333,March,2019,5/13/2019,3.23,15,940,1400,5990,10,1000,780,9,54
334,March,2019,5/13/2019,3.73,15,600,450,1200,3,240,350,4,62
335,March,2019,5/13/2019,3.38,15,460,840,980,4,180,250,4,56
336,March,2019,5/13/2019,2.92,15,980,1200,2400,18,640,800,14,49
337,March,2019,5/15/2019,2.83,15,1880,2440,4200,10,990,460,22,47
338,March,2019,5/15/2019,2.76,15,900,1300,3800,4,480,660,6,46
339,March,2019,5/28/2019,2.51,15,1740,2000,6400,13,600,780,9,42
340,March,2019,5/28/2019,2.72,15,1140,1080,5400,16,900,1080,10,45
341,March,2019,5/31/2019,3.19,15,2040,1250,6600,17,860,1480,8,53
342,June,2019,6/12/2019,3.23,15,2800,2200,7800,14,1050,2000,17,54
343,June,2019,6/12/2019,3.08,15,1800,2240,6300,11,600,1450,8,51
344,June,2019,6/17/2019,3.02,15,3300,2400,8000,18,500,1600,16,50
345,July,2019,7/3/2019,2.08,15,1880,1640,7200,22,800,1380,11,35
346,July,2019,7/3/2019,2.03,15,2000,1100,5000,18,400,1500,8,34
347,July,2019,7/6/2019,2.48,15,2680,980,4400,34,560,980,20,41
