,Age,SibSp,Parch,Fare
569,32.0,0,0,7.8542
570,62.0,0,0,10.5
571,53.0,2,0,51.4792
572,36.0,0,0,26.3875
573,,0,0,7.75
574,16.0,0,0,8.05
575,19.0,0,0,14.5
576,34.0,0,0,13.0
577,39.0,1,0,55.9
578,,1,0,14.4583
579,32.0,0,0,7.925
580,25.0,1,1,30.0
581,39.0,1,1,110.8833
582,54.0,0,0,26.0
583,36.0,0,0,40.125
584,,0,0,8.7125
585,18.0,0,2,79.65
586,47.0,0,0,15.0
587,60.0,1,1,79.2
588,22.0,0,0,8.05
589,,0,0,8.05
590,35.0,0,0,7.125
591,52.0,1,0,78.2667
592,47.0,0,0,7.25
593,,0,2,7.75
594,37.0,1,0,26.0
595,36.0,1,1,24.15
596,,0,0,33.0
597,49.0,0,0,0.0
598,,0,0,7.225
599,49.0,1,0,56.9292
600,24.0,2,1,27.0
601,,0,0,7.8958
602,,0,0,42.4
603,44.0,0,0,8.05
604,35.0,0,0,26.55
605,36.0,1,0,15.55
606,30.0,0,0,7.8958
607,27.0,0,0,30.5
608,22.0,1,2,41.5792
609,40.0,0,0,153.4625
610,39.0,1,5,31.275
611,,0,0,7.05
612,,1,0,15.5
613,,0,0,7.75
614,35.0,0,0,8.05
615,24.0,1,2,65.0
616,34.0,1,1,14.4
617,26.0,1,0,16.1
618,4.0,2,1,39.0
619,26.0,0,0,10.5
620,27.0,1,0,14.4542
621,42.0,1,0,52.5542
622,20.0,1,1,15.7417
623,21.0,0,0,7.8542
624,21.0,0,0,16.1
625,61.0,0,0,32.3208
626,57.0,0,0,12.35
627,21.0,0,0,77.9583
628,26.0,0,0,7.8958
629,,0,0,7.7333
630,80.0,0,0,30.0
631,51.0,0,0,7.0542
632,32.0,0,0,30.5
633,,0,0,0.0
634,9.0,3,2,27.9
635,28.0,0,0,13.0
636,32.0,0,0,7.925
637,31.0,1,1,26.25
638,41.0,0,5,39.6875
639,,1,0,16.1
640,20.0,0,0,7.8542
641,24.0,0,0,69.3
642,2.0,3,2,27.9
643,,0,0,56.4958
644,0.75,2,1,19.2583
645,48.0,1,0,76.7292
646,19.0,0,0,7.8958
647,56.0,0,0,35.5
648,,0,0,7.55
649,23.0,0,0,7.55
650,,0,0,7.8958
651,18.0,0,1,23.0
652,21.0,0,0,8.4333
653,,0,0,7.8292
654,18.0,0,0,6.75
655,24.0,2,0,73.5
656,,0,0,7.8958
657,32.0,1,1,15.5
658,23.0,0,0,13.0
659,58.0,0,2,113.275
660,50.0,2,0,133.65
661,40.0,0,0,7.225
662,47.0,0,0,25.5875
663,36.0,0,0,7.4958
664,20.0,1,0,7.925
665,32.0,2,0,73.5
666,25.0,0,0,13.0
667,,0,0,7.775
668,43.0,0,0,8.05
669,,1,0,52.0
670,40.0,1,1,39.0
671,31.0,1,0,52.0
672,70.0,0,0,10.5
673,31.0,0,0,13.0
674,,0,0,0.0
675,18.0,0,0,7.775
676,24.5,0,0,8.05
677,18.0,0,0,9.8417
678,43.0,1,6,46.9
679,36.0,0,1,512.3292
680,,0,0,8.1375
681,27.0,0,0,76.7292
682,20.0,0,0,9.225
683,14.0,5,2,46.9
684,60.0,1,1,39.0
685,25.0,1,2,41.5792
686,14.0,4,1,39.6875
687,19.0,0,0,10.1708
688,18.0,0,0,7.7958
689,15.0,0,1,211.3375
690,31.0,1,0,57.0
691,4.0,0,1,13.4167
692,,0,0,56.4958
693,25.0,0,0,7.225
694,60.0,0,0,26.55
695,52.0,0,0,13.5
696,44.0,0,0,8.05
697,,0,0,7.7333
698,49.0,1,1,110.8833
699,42.0,0,0,7.65
700,18.0,1,0,227.525
701,35.0,0,0,26.2875
702,18.0,0,1,14.4542
703,25.0,0,0,7.7417
704,26.0,1,0,7.8542
705,39.0,0,0,26.0
706,45.0,0,0,13.5
707,42.0,0,0,26.2875
708,22.0,0,0,151.55
709,,1,1,15.2458
710,24.0,0,0,49.5042
711,,0,0,26.55
712,48.0,1,0,52.0
713,29.0,0,0,9.4833
714,52.0,0,0,13.0
715,19.0,0,0,7.65
716,38.0,0,0,227.525
717,27.0,0,0,10.5
718,,0,0,15.5
719,33.0,0,0,7.775
720,6.0,0,1,33.0
721,17.0,1,0,7.0542
722,34.0,0,0,13.0
723,50.0,0,0,13.0
724,27.0,1,0,53.1
725,20.0,0,0,8.6625
726,30.0,3,0,21.0
727,,0,0,7.7375
728,25.0,1,0,26.0
729,25.0,1,0,7.925
730,29.0,0,0,211.3375
731,11.0,0,0,18.7875
732,,0,0,0.0
733,23.0,0,0,13.0
734,23.0,0,0,13.0
735,28.5,0,0,16.1
736,48.0,1,3,34.375
737,35.0,0,0,512.3292
738,,0,0,7.8958
739,,0,0,7.8958
740,,0,0,30.0
741,36.0,1,0,78.85
742,21.0,2,2,262.375
743,24.0,1,0,16.1
744,31.0,0,0,7.925
745,70.0,1,1,71.0
746,16.0,1,1,20.25
747,30.0,0,0,13.0
748,19.0,1,0,53.1
749,31.0,0,0,7.75
750,4.0,1,1,23.0
751,6.0,0,1,12.475
752,33.0,0,0,9.5
753,23.0,0,0,7.8958
754,48.0,1,2,65.0
755,0.67,1,1,14.5
756,28.0,0,0,7.7958
757,18.0,0,0,11.5
758,34.0,0,0,8.05
759,33.0,0,0,86.5
760,,0,0,14.5
761,41.0,0,0,7.125
762,20.0,0,0,7.2292
763,36.0,1,2,120.0
764,16.0,0,0,7.775
765,51.0,1,0,77.9583
766,,0,0,39.6
767,30.5,0,0,7.75
768,,1,0,24.15
769,32.0,0,0,8.3625
770,24.0,0,0,9.5
771,48.0,0,0,7.8542
772,57.0,0,0,10.5
773,,0,0,7.225
774,54.0,1,3,23.0
775,18.0,0,0,7.75
776,,0,0,7.75
777,5.0,0,0,12.475
778,,0,0,7.7375
779,43.0,0,1,211.3375
780,13.0,0,0,7.2292
781,17.0,1,0,57.0
782,29.0,0,0,30.0
783,,1,2,23.45
784,25.0,0,0,7.05
785,25.0,0,0,7.25
786,18.0,0,0,7.4958
787,8.0,4,1,29.125
788,1.0,1,2,20.575
789,46.0,0,0,79.2
790,,0,0,7.75
791,16.0,0,0,26.0
792,,8,2,69.55
793,,0,0,30.6958
794,25.0,0,0,7.8958
795,39.0,0,0,13.0
796,49.0,0,0,25.9292
797,31.0,0,0,8.6833
798,30.0,0,0,7.2292
799,30.0,1,1,24.15
800,34.0,0,0,13.0
801,31.0,1,1,26.25
802,11.0,1,2,120.0
803,0.42,0,1,8.5167
804,27.0,0,0,6.975
805,31.0,0,0,7.775
806,39.0,0,0,0.0
807,18.0,0,0,7.775
808,39.0,0,0,13.0
809,33.0,1,0,53.1
810,26.0,0,0,7.8875
811,39.0,0,0,24.15
812,35.0,0,0,10.5
813,6.0,4,2,31.275
814,30.5,0,0,8.05
815,,0,0,0.0
816,23.0,0,0,7.925
817,31.0,1,1,37.0042
818,43.0,0,0,6.45
819,10.0,3,2,27.9
820,52.0,1,1,93.5
821,27.0,0,0,8.6625
822,38.0,0,0,0.0
823,27.0,0,1,12.475
824,2.0,4,1,39.6875
825,,0,0,6.95
826,,0,0,56.4958
827,1.0,0,2,37.0042
828,,0,0,7.75
829,62.0,0,0,80.0
830,15.0,1,0,14.4542
831,0.83,1,1,18.75
832,,0,0,7.2292
833,23.0,0,0,7.8542
834,18.0,0,0,8.3
835,39.0,1,1,83.1583
836,21.0,0,0,8.6625
837,,0,0,8.05
838,32.0,0,0,56.4958
839,,0,0,29.7
840,20.0,0,0,7.925
841,16.0,0,0,10.5
842,30.0,0,0,31.0
843,34.5,0,0,6.4375
844,17.0,0,0,8.6625
845,42.0,0,0,7.55
846,,8,2,69.55
847,35.0,0,0,7.8958
848,28.0,0,1,33.0
849,,1,0,89.1042
850,4.0,4,2,31.275
851,74.0,0,0,7.775
852,9.0,1,1,15.2458
853,16.0,0,1,39.4
854,44.0,1,0,26.0
855,18.0,0,1,9.35
856,45.0,1,1,164.8667
857,51.0,0,0,26.55
858,24.0,0,3,19.2583
859,,0,0,7.2292
860,41.0,2,0,14.1083
861,21.0,1,0,11.5
862,48.0,0,0,25.9292
863,,8,2,69.55
864,24.0,0,0,13.0
865,42.0,0,0,13.0
866,27.0,1,0,13.8583
867,31.0,0,0,50.4958
868,,0,0,9.5
869,4.0,1,1,11.1333
870,26.0,0,0,7.8958
871,47.0,1,1,52.5542
872,33.0,0,0,5.0
873,47.0,0,0,9.0
874,28.0,1,0,24.0
875,15.0,0,0,7.225
876,20.0,0,0,9.8458
877,19.0,0,0,7.8958
878,,0,0,7.8958
879,56.0,0,1,83.1583
880,25.0,0,1,26.0
881,33.0,0,0,7.8958
882,22.0,0,0,10.5167
883,28.0,0,0,10.5
884,25.0,0,0,7.05
885,39.0,0,5,29.125
886,27.0,0,0,13.0
887,19.0,0,0,30.0
888,,1,2,23.45
889,26.0,0,0,30.0
890,32.0,0,0,7.75
